experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
1,1,1,1,-1.2597503702273663e-07,38.89463500587358,161.024778843,0.9518692171950448,0,2024-09-29-19-54-48,0.0001403236278357587,1,2,1.0565310055827555
2,1,1,1,-5.864634042202327e-06,36.189207561601854,248.803458453,0.9978196807006962,0,2024-09-29-19-58-38,0.00016539139183082547,0,0,0.9138009517983229
3,1,1,1,0.0008007061304396574,36.72456186696897,129.341229916,0.9751728014313513,0,2024-09-29-20-04-30,0.0001856232240942906,1,1,0.9536731802612403
4,1,1,1,-6.356821253651051e-09,36.581871868676636,146.821355104,0.9723240152563608,0,2024-09-29-20-07-36,0.00014348918903357323,1,1,0.9443717680881841
5,1,1,1,7.010214314872465e-05,37.47618016532609,356.733262062,0.9277846136851591,0,2024-09-29-20-11-06,0.00015550205138193846,1,2,1.3947596661922004
6,1,1,1,-7.499110151977105e-06,35.76747253798905,265.185078144,0.9978495303816978,0,2024-09-29-20-19-29,0.00017974234294922332,0,0,0.9220820681288711
7,1,1,1,0.0001412652844809028,36.92025689466152,215.978995562,0.9519868662492125,0,2024-09-29-20-25-45,0.00017498766454746739,1,3,1.0465997918976513
8,1,1,1,0.00047327994613115964,37.44357921832295,160.214384555,0.9321649597995526,0,2024-09-29-20-30-51,0.00013924500966395974,1,3,0.9771010395077346
9,1,1,1,0.001266769221463261,36.334413212326496,114.189266681,0.9649797640738569,0,2024-09-29-20-34-40,0.00018576769231476266,1,1,1.0465657626640548
10,1,1,1,1.646554025675837e-07,36.030095333312495,173.660378695,0.9804288567420832,0,2024-09-29-20-37-24,0.00014236218868318083,1,1,1.0046602149905197
11,1,1,1,1.0068523501136255e-07,35.73928229555969,269.003723144,0.9837904408054767,0,2024-09-29-20-41-31,0.0001564446281004992,1,1,1.4402248586924642
12,1,1,1,6.912427615052535e-06,35.52821748337662,59.502000093,0.9979888914900267,0,2024-09-29-20-47-52,0.00014846551584526656,0,0,0.8211682014525469
13,1,1,1,0.0009975228847272236,36.463795977246626,282.417113304,0.9861702306879401,0,2024-09-29-20-49-20,0.00017849917330058643,1,1,1.1446475756171388
14,1,1,1,0.0011514818924105734,38.01058980658665,99.419662237,0.9610936087489956,0,2024-09-29-20-55-59,0.00013903207292805995,1,1,0.9380100051378472
15,1,1,1,-1.4730745650338403e-07,37.39209171700233,285.648636103,0.9539502260480295,0,2024-09-29-20-58-22,0.00014263279294827623,1,3,1.1648406821547532
16,1,1,1,0.0009575259699100509,39.37262276044352,80.61439085,0.9570811552815688,0,2024-09-29-21-17-55,0.00014510014738820963,1,1,0.8758238580500377
17,1,1,1,0.0007838512201413889,36.85747707310947,208.126019716,0.980020553977217,0,2024-09-29-21-19-51,9.591823501161214e-05,1,1,1.1452876441771884
18,1,1,1,3.2506426688227308e-06,37.35457758109296,190.579052448,0.9701639660872373,0,2024-09-29-21-24-46,0.00016535332830360986,1,1,1.126804640723379
19,1,1,1,0.001615006768076635,36.70725027850741,121.774307966,0.9755067700716049,0,2024-09-29-21-29-16,0.0001497368145612785,1,1,0.9912259269494642
20,1,1,1,5.951936526429775e-06,35.43550104054096,98.686342716,0.9987091336806796,0,2024-09-29-21-32-11,0.00015194830914878085,0,0,0.803638813917821
