experiment_id,num_segments,avr_state_approx_error,planning_success,dlo_simplification_time,urdf_generation_time,planning_time_ompl,planning_time_trajopt,total_planning_time,total_process_time,ompl_path_length,trajopt_path_length
1,5,0.009445099270180798,1,0.026443247,0.010045496,0.35922872,0.817527526,1.176756246,1.213244989,0.6464193683231675,0.5218035777530963
2,5,0.009445099270180798,1,0.026767193,0.010058641,0.45402107999999997,0.641277082,1.095298162,1.132123996,0.7305421488928493,0.6352990696334472
3,5,0.009445099270180798,1,0.026611071,0.010163575,0.436046222,0.8622553380000001,1.29830156,1.335076206,0.6362448884359057,0.5272631977579739
4,5,0.009445099270180798,1,0.026960894,0.010606325,0.521967654,0.693702223,1.2156698769999998,1.2532370959999999,0.7593700708615988,0.48704487811863045
5,5,0.009445099270180798,1,0.027430455,0.009994064,0.616674722,0.627524568,1.24419929,1.281623809,0.7861493015591748,0.6826949889677508
6,5,0.009445099270180798,1,0.025946078,0.009818116,0.522087474,0.630668695,1.1527561689999999,1.1885203629999999,0.9644172395263588,0.9179348160588191
7,5,0.009445099270180798,1,0.026118696,0.009782326,0.589050568,0.378215879,0.967266447,1.0031674689999999,0.9340364045054131,0.8134828816410214
8,5,0.009445099270180798,1,0.027200537999999996,0.010496426,0.415319019,0.575873165,0.991192184,1.028889148,0.8194405317696027,0.7677318833198837
9,5,0.009445099270180798,1,0.027372145,0.010008758,0.47008210100000003,0.61711969,1.087201791,1.124582694,0.757753814005714,0.6893644022109119
10,5,0.009445099270180798,1,0.026016417,0.009774869,0.412505708,0.48021732300000003,0.8927230310000001,0.9285143170000001,0.7156986774600421,0.6955927267143321
11,5,0.009445099270180798,1,0.02593381,0.009786298,0.5370896900000001,0.724495569,1.261585259,1.297305367,0.8891683465283918,0.7699752370017682
12,5,0.009445099270180798,1,0.027388271999999998,0.041604656,0.457311509,0.44175766,0.899069169,0.968062097,0.7245991118769165,0.6200796168776467
13,5,0.009445099270180798,1,0.02636024,0.010465578000000001,0.4953419,0.389487514,0.8848294139999999,0.9216552319999999,0.8641082133594455,0.7507092291411069
14,5,0.009445099270180798,1,0.025837185999999998,0.009751612,0.46809965,0.7639087489999999,1.232008399,1.267597197,0.7329017941922803,0.6444226149950943
15,5,0.009445099270180798,1,0.026757221999999997,0.009935577000000001,0.47681136500000004,0.6162867320000001,1.0930980970000002,1.1297908960000003,0.7322674407541246,0.7184111227154705
16,5,0.009445099270180798,1,0.026057341999999997,0.009739369999999999,0.5518521160000001,0.484874302,1.036726418,1.07252313,0.8502246234688181,0.8098969993628113
17,5,0.009445099270180798,1,0.025876281,0.010181984,0.473100314,0.652664715,1.125765029,1.1618232940000002,0.8916697786961972,0.8146629127647707
18,5,0.009445099270180798,1,0.027380144000000002,0.010034159,0.411495308,0.632819167,1.044314475,1.081728778,0.7336748275818749,0.7151060052784048
19,5,0.009445099270180798,1,0.026670706,0.010013923000000001,0.406407267,0.68376349,1.090170757,1.1268553860000001,0.7173116408009936,0.616468982506813
20,5,0.009445099270180798,1,0.026429642,0.009945085000000001,0.413706546,0.355997956,0.769704502,0.806079229,0.6561717604988792,0.6227042837070641
21,5,0.009445099270180798,1,0.026056044999999996,0.010208095,0.405735716,0.6634585009999999,1.069194217,1.1054583569999998,0.6973379797573287,0.6238887321100767
22,5,0.009445099270180798,1,0.026673024,0.009940242,0.5325955880000001,0.577685939,1.1102815270000002,1.1468947930000002,0.9318872982730592,0.9114818606850665
23,5,0.009445099270180798,1,0.027505961,0.01004298,0.468414561,0.416326086,0.884740647,0.9222895879999999,0.7168656159379534,0.6111128146267854
24,5,0.009445099270180798,1,0.026372568,0.009970992000000001,0.523906744,0.494439774,1.018346518,1.054690078,0.7582007697954323,0.6929116437292352
25,5,0.009445099270180798,1,0.026751499999999998,0.010415409,0.486950938,0.705643342,1.19259428,1.229761189,0.8972252876991438,0.7718600738366908
26,5,0.009445099270180798,1,0.026092485,0.010015536,0.504683289,0.438560455,0.9432437440000001,0.9793517650000001,0.7580543256250274,0.6203786544342826
27,5,0.009445099270180798,1,0.026077069,0.009712599,0.42396164399999997,0.585934171,1.009895815,1.045685483,0.7879888259564104,0.7177149673486856
28,5,0.009445099270180798,1,0.026214646,0.009748702,0.5086500389999999,0.5940902170000001,1.1027402560000001,1.138703604,0.8657785563060424,0.796656750694846
29,5,0.009445099270180798,1,0.025975592,0.009729086999999999,0.416553815,0.36112055,0.777674365,0.8133790439999999,0.6945320005158327,0.6682323320086286
30,5,0.009445099270180798,1,0.026151834,0.010311486,0.4400867,0.520841967,0.9609286669999999,0.9973919869999999,0.7120983734129016,0.6597536388553925
31,5,0.009445099270180798,1,0.025788099000000002,0.03944513,0.49456426,0.409254868,0.903819128,0.969052357,0.8143436509806428,0.6962250618981995
32,5,0.009445099270180798,1,0.027458385,0.010026693,0.5325786440000001,0.62233266,1.154911304,1.192396382,0.8259377736186165,0.7159556280840298
33,5,0.009445099270180798,1,0.025715224,0.009737577,0.42790189900000003,0.718172815,1.146074714,1.181527515,0.785147281963007,0.6217715122902695
34,5,0.009445099270180798,1,0.025931326,0.010515007,0.479393488,0.435088782,0.9144822699999999,0.9509286029999999,0.7640218671251522,0.6496014427500799
35,5,0.009445099270180798,1,0.026324493,0.009739022,0.556439569,0.448129419,1.004568988,1.0406325029999999,0.837843925960172,0.7570980035560586
36,5,0.009445099270180798,1,0.025879650000000004,0.009750866,0.574493916,0.385620539,0.960114455,0.995744971,0.7884691845645432,0.7271985155952421
