experiment_id,num_segments,avr_state_approx_error,planning_success,dlo_simplification_time,urdf_generation_time,planning_time_ompl,planning_time_trajopt,total_planning_time,total_process_time,ompl_path_length,trajopt_path_length
1,2,0.0029207511166739184,1,0.003521147,0.004683875,0.033171202999999996,0.14853244300000001,0.181703646,0.189908668,1.066916898116026,0.8792535074464697
2,2,0.0029207511166739184,1,0.003629446,0.004720345,0.02343323,0.25688239199999996,0.28031562199999993,0.2886654129999999,1.0203076931651613,0.8951523523768957
3,2,0.0029207511166739184,1,0.003667065,0.004688042,0.026508304,0.349413152,0.375921456,0.384276563,1.0466721775762973,0.8429189945767304
4,2,0.0029207511166739184,1,0.0035940110000000003,0.004690529,0.026303682,0.17613959399999998,0.20244327599999998,0.21072781599999998,1.1792883313438003,0.9659523456309559
5,2,0.0029207511166739184,1,0.003547286,0.004584019999999999,0.026191888,0.155839543,0.182031431,0.190162737,1.2548479811949962,0.8757116392914268
6,2,0.0029207511166739184,1,0.003520166,0.004587671000000001,0.027122014,0.146714226,0.17383624,0.181944077,1.1110415174020012,0.9119206769686231
7,2,0.0029207511166739184,1,0.003620784,0.035072806,0.024961105,0.14374752200000002,0.16870862700000003,0.20740221700000003,1.1567027159642214,0.8446850890345537
8,2,0.0029207511166739184,1,0.0035406360000000002,0.004825837,0.029857595,0.17696168399999998,0.20681927899999997,0.21518575199999998,1.124538971821106,0.9285144011405552
9,2,0.0029207511166739184,1,0.00367205,0.004706084,0.027899831,0.144609336,0.17250916700000002,0.18088730100000003,0.996568173607681,0.826324143341826
10,2,0.0029207511166739184,1,0.003580661,0.004648719,0.026052472,0.213938569,0.239991041,0.248220421,1.0825064923415493,0.8417770008456413
11,2,0.0029207511166739184,1,0.003553083,0.004935577,0.024594152999999997,0.368454524,0.393048677,0.401537337,1.1591084257986746,0.9338810485706853
12,2,0.0029207511166739184,1,0.003629889,0.004758786,0.022382159000000002,0.155379604,0.17776176300000002,0.18615043800000003,1.054270561557341,0.8462733530129368
13,2,0.0029207511166739184,1,0.00355403,0.004637649,0.027234705,0.147861833,0.175096538,0.183288217,1.183832240116166,0.8990360757845527
14,2,0.0029207511166739184,1,0.003558831,0.0049675000000000006,0.029803884,0.208832295,0.238636179,0.24716251,1.0423369975007672,0.8231884982803072
15,2,0.0029207511166739184,1,0.003556984,0.004637793,0.025982236,0.143684494,0.16966673,0.17786150699999997,1.1389603528878325,0.8413145271427149
16,2,0.0029207511166739184,1,0.003585721,0.004763985,0.026249082,0.146777802,0.17302688400000002,0.18137659000000003,1.3567240944243046,1.069703773089966
17,2,0.0029207511166739184,1,0.0035637530000000002,0.004954162,0.027918332,0.1775438,0.205462132,0.213980047,1.0929343005688688,0.8370192888090253
18,2,0.0029207511166739184,1,0.0035595180000000002,0.00460437,0.024823336,0.185781397,0.210604733,0.218768621,0.997492425649816,0.8403518008730773
19,2,0.0029207511166739184,1,0.003519102,0.0046192279999999995,0.148316128,0.197390948,0.345707076,0.35384540600000003,0.8186659140191875,0.8347221552515242
20,2,0.0029207511166739184,1,0.003673006,0.005082052,0.028686572,0.368602718,0.39728929,0.406044348,1.054720623385951,0.9103318364719527
21,2,0.0029207511166739184,1,0.003685522,0.004714315,0.024855304,0.226039378,0.25089468200000004,0.25929451900000006,1.0455457419956244,0.8501698004397138
22,2,0.0029207511166739184,1,0.0035492270000000003,0.004584878,0.028130737,0.13639418,0.164524917,0.172659022,1.2530657439695607,0.8944130492060903
23,2,0.0029207511166739184,1,0.0036533319999999996,0.005103506999999999,0.030021173999999998,0.12919403,0.159215204,0.167972043,1.0680014002325986,0.8834309752275175
24,2,0.0029207511166739184,1,0.003645444,0.004731466,0.019881085,0.160298923,0.180180008,0.188556918,0.9979956218197915,0.8450996045714257
25,2,0.0029207511166739184,1,0.003627811,0.004718286,0.021400825000000002,0.13419693000000002,0.15559775500000003,0.16394385200000003,1.183731397637642,0.9511706278531117
26,2,0.0029207511166739184,1,0.003618366,0.005029802,0.026711024,0.16342126099999998,0.19013228499999998,0.198780453,1.2477611384882386,0.9268829118728409
27,2,0.0029207511166739184,1,0.0036109360000000004,0.0046724309999999995,0.126220983,0.152099008,0.27831999100000004,0.28660335800000003,0.8470556324091966,0.806528898364728
28,2,0.0029207511166739184,1,0.003568262,0.004586886,0.157381663,0.39660479299999996,0.553986456,0.562141604,0.877295347595363,0.8214148420647639
29,2,0.0029207511166739184,1,0.003642325,0.004693877,0.025982009,0.13108868699999998,0.15707069599999998,0.16540689799999997,1.1410719073256312,0.9160292489176362
30,2,0.0029207511166739184,1,0.0036258889999999998,0.004685432,0.022205467,0.137180734,0.159386201,0.16769752200000002,1.0722642895078045,0.8561952775541238
31,2,0.0029207511166739184,1,0.003537744,0.004582008,0.030006048,0.141008813,0.17101486100000002,0.17913461300000003,1.2558624320466392,0.9077089004038652
32,2,0.0029207511166739184,1,0.0035526779999999997,0.0046063020000000005,0.026218762000000003,0.191862136,0.218080898,0.226239878,0.9686241143617865,0.8431445138847753
33,2,0.0029207511166739184,1,0.0036760480000000003,0.004831088,0.020645292000000003,0.143598022,0.164243314,0.17275045,1.1187627456937645,0.8632276841434754
34,2,0.0029207511166739184,1,0.003636711,0.004595025,0.026907108000000002,0.19186155600000002,0.21876866400000003,0.22700040000000002,1.1145850654244993,0.8897897539788042
35,2,0.0029207511166739184,1,0.003573179,0.004604759999999999,0.02647103,0.416203783,0.442674813,0.450852752,1.1284303500207546,0.8994570846929734
