experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
1,1,1,1,0.009029224024845892,41.01198649729851,52.082334518,0.9890002705134424,0,2024-09-09-15-17-50,0.00010944760706886548,0,0,1.2090476554848288
2,1,1,1,0.007192854768443469,35.99139302850964,57.430397272,0.9879774416239483,0,2024-09-11-06-50-07,0.00010643386746633003,0,0,1.28602737279084
3,1,1,1,0.004926144360068999,38.03455297008213,56.94821763,0.9888214726676773,0,2024-09-19-13-33-52,9.863130240530556e-05,0,0,1.1412959218666794
4,1,1,1,0.012654717715207387,37.10643703095968,55.812418699,0.9893735571054169,0,2024-09-11-06-52-55,0.00018911031269622672,0,0,1.373379269579038
5,1,1,1,0.011215137333338086,36.38950055222499,51.608292818,0.9881601022266479,0,2024-09-11-06-54-16,0.00010868911951853343,0,0,1.2025424089975905
6,1,1,1,0.01107243380127121,36.49533308607268,57.267596245,0.988917030239564,0,2024-09-11-06-55-32,0.00011594914930995472,0,0,1.3187794759504181
7,1,1,1,0.006459979024520903,35.78100098814137,60.67465806,0.9882759845185043,0,2024-09-11-06-56-55,0.00010140303852258502,0,0,1.1270162010260634
8,1,1,1,0.01772000941769765,36.16434641945739,51.818992614,0.9894298250044736,0,2024-09-11-06-58-23,0.0001214200643991296,0,0,1.2408916776623542
9,1,1,1,0.008323372483759422,36.37003541792354,55.705197334,0.9873348998869846,0,2024-09-11-06-59-38,0.00010288173702084548,0,0,1.1070543872174488
10,1,1,1,0.010333882407920126,36.114849023432306,54.797404766,0.990231460797246,0,2024-09-11-07-00-59,0.00010864787838432086,0,0,1.143954184523627
11,1,1,1,0.009288134098829389,35.96410680463259,57.251526117,0.9896058758376811,0,2024-09-11-07-02-19,0.00019693850773894682,0,0,1.3234547662633582
12,1,1,1,0.007185317457104915,35.47210595178166,59.032299995,0.990198192205093,0,2024-09-11-07-03-42,0.00010282140244304598,0,0,1.1884104580727295
13,1,1,1,0.009357644664621067,35.85410276468864,60.774076939,0.9901858435833967,0,2024-09-11-07-05-07,0.00011412470415958706,0,0,1.1938875036105536
