experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error
1,1,1,1,-3.88990100170745e-06,12.693090761026006,97.690942525,0.978744324426905,0,2024-08-19-08-11-23,0.00016419031248269276
2,1,1,1,-9.242508391468641e-05,12.20378873955447,144.627216815,0.8374867091618029,0,2024-08-19-08-13-49,0.00021869632322684714
3,1,1,0,-0.00012132990478230082,12.29719266291692,144.748484373,0.9141721587285977,0,2024-08-19-08-17-23,0.0998719631200125
4,1,1,0,-5.956632248431722e-05,12.268648018679835,130.739752054,0.9859721107139587,0,2024-08-19-08-20-57,0.13387262864575644
5,1,1,0,-3.980081802887921e-05,11.878621410742662,143.282620192,0.9550215544717519,0,2024-08-19-08-24-12,0.17717904209905458
1,1,0,0,-0.0062651107904076585,31.119781490328112,59.158513069,0.8176413518590141,0,2024-08-19-10-15-35,0.2857002805663562
2,1,0,1,0.004924289452916507,30.780223791023186,80.831121206,0.9888599691021556,0,2024-08-19-10-17-07,0.00019663733386173383
3,1,0,1,0.003246509377743709,30.05000305671142,61.33110857,0.9899194977212866,0,2024-08-19-10-19-10,0.000871149398183385
4,1,0,1,-0.00014535973228103715,30.45150149113849,73.658108473,0.9651607740143238,0,2024-08-19-10-20-44,0.05309788237189276
5,1,0,1,-0.00016051500200581188,30.80720497874335,61.284365177,0.9465067376689834,0,2024-08-19-10-22-37,0.06210192864330536
2,1,1,1,-5.4102462267451875e-05,17.90573945891744,107.172340154,0.9414243295392791,0,2024-08-19-10-49-45,0.00020181264347986282
3,1,1,1,0.004123559864963718,17.448096728003716,73.818939686,0.988832960068361,0,2024-08-19-10-52-25,0.0007777316455099577
2,1,1,1,0.005679163533386683,17.88428337463859,91.421051979,0.9873123043312251,0,2024-08-19-11-08-11,0.0002047805048186225
