experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error
1,1,1,1,0.010305305369425683,36.145049144054475,21.109391689,0.9582089143254551,0,2024-08-19-11-49-47,0.0010968588623470903
2,1,1,1,-6.713430745265543e-06,36.506817612366795,15.339600563,0.9560941487273509,0,2024-08-19-11-50-21,0.001227120652731803
3,1,1,1,-1.7599571173906676e-05,35.31717924653556,14.723712683,0.9545556417961513,0,2024-08-19-11-50-45,0.0012334116873260212
4,1,1,1,1.6471153042701774e-05,35.91918852161133,16.06383729,0.9577570235442422,0,2024-08-19-11-51-10,0.0012247657268873694
5,1,1,1,1.051205886976212e-06,33.70597622730885,14.834164619,0.9581562858815137,0,2024-08-19-11-51-37,0.0012007810284740189
1,1,1,1,0.005679913673490639,34.922739107253996,34.046584844,0.9597128563761158,0,2024-08-19-11-55-41,0.0010867112671324914
2,1,1,1,0.0008524548025437392,34.63624096884975,20.845218182,0.9620976461114855,0,2024-08-19-11-56-38,0.0012335612992946817
3,1,1,1,9.471248632982203e-05,34.683981472360514,21.854469061,0.9620160067295116,0,2024-08-19-11-57-14,0.0012660989187172618
4,1,1,1,0.0010650917751286058,34.593175619511115,23.299393177,0.9617560744939924,0,2024-08-19-11-57-52,0.0012788949132394038
5,1,1,1,0.0026805986741609274,34.1411653255376,21.264652014,0.9617867123721408,0,2024-08-19-11-58-32,0.00124913261762363
