experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error
1,1,1,1,0.007888167273407,22.589410548504805,36.521537303,0.9848916630428146,0,2024-08-19-07-54-41,0.0007025642802592323
2,1,1,1,0.011894513145065571,24.84840174989194,32.396449804,0.9809859287654316,0,2024-08-19-07-57-26,0.0006262589040785342
3,1,1,1,0.009957654300838264,24.46937266819244,52.882434607,0.9824528974589537,0,2024-08-19-07-58-16,0.00017349618290495752
4,1,1,1,0.010724628361624581,24.14197025196595,37.445162535,0.9770086214319641,0,2024-08-19-07-59-36,0.0006462595199795254
5,1,1,1,0.008676154126573502,24.494151302096995,35.477857113,0.9817213032952677,0,2024-08-19-08-00-34,0.0006581512245466027
