experiment_id,num_segments,avr_state_approx_error,planning_success,planning_time_ompl,planning_time_trajopt,total_planning_time,ompl_path_length,trajopt_path_length
1,10,0.0011366979030575316,1,2.514925198,8.603423293,11.118348491,2.2894718904352955,1.233567404787897
2,10,0.0011366979030575316,1,2.195721508,7.131772372,9.32749388,1.6781740349347627,1.0386580548023348
3,10,0.0011366979030575316,1,4.456692173,2.782326366,7.239018539,1.33303942305857,0.940840235473742
4,10,0.0011366979030575316,1,1.8266595429999999,5.578172434,7.404831977,1.934003806321518,1.219707914527904
5,10,0.0011366979030575316,1,1.234146391,4.118532278,5.3526786689999994,1.172821882575038,0.965585027594296
6,10,0.0011366979030575316,1,1.786987749,12.644984332,14.431972081,1.6891230814370897,1.1966755543631724
7,10,0.0011366979030575316,1,3.267784279,8.909667595,12.177451873999999,2.216285543744377,1.2459482067995766
8,10,0.0011366979030575316,1,2.266117048,6.108517225,8.374634273,1.9578218319582126,1.195526323556775
9,10,0.0011366979030575316,1,6.433892836,7.049874895,13.483767731,1.691390419037564,1.3455637853343498
10,10,0.0011366979030575316,1,6.482379622000001,6.008798856,12.491178478000002,2.6644403509061494,1.2041943639806527
11,10,0.0011366979030575316,1,1.825272651,9.252083382,11.077356033000001,1.9438485776171321,0.8733727658872988
12,10,0.0011366979030575316,1,8.649211344,5.359334608,14.008545951999999,2.346479749914994,1.6436378199416044
13,10,0.0011366979030575316,1,2.187216468,2.606819046,4.794035514,1.3636017256542463,1.1381304742608174
14,10,0.0011366979030575316,1,1.360754313,4.445032123,5.805786436,1.8396887708209884,1.343402853453641
15,10,0.0011366979030575316,1,1.384884793,1.6100604699999999,2.994945263,1.027565311480777,0.9025339354333433
16,10,0.0011366979030575316,1,2.239962824,9.4555397,11.695502523999998,2.0648701158990312,0.8750550573709711
17,10,0.0011366979030575316,1,2.7227977169999997,3.491764152,6.214561869,1.4884822171427434,1.129570863587822
18,10,0.0011366979030575316,1,1.612504808,4.077061525,5.689566333,1.4112432358328668,0.9577247983388348
19,10,0.0011366979030575316,1,1.96238697,2.034698236,3.9970852060000004,1.4780341901297147,1.1863219129370062
20,10,0.0011366979030575316,1,2.9850617539999997,4.544916076000001,7.52997783,2.1554975599600548,1.5763604527643542
21,10,0.0011366979030575316,1,2.183314005,8.141054734999999,10.324368739999999,2.10979637906853,1.2455809650332703
22,10,0.0011366979030575316,1,3.186525217,5.241034641000001,8.427559858,2.202742380735212,1.3896446230995665
23,10,0.0011366979030575316,1,2.153643786,2.834035481,4.987679267,0.9646105393228556,0.9195728705972889
24,10,0.0011366979030575316,1,2.778353448,10.818463965000001,13.596817413,2.2344113147911457,1.2449856688403615
25,10,0.0011366979030575316,1,5.213988274999999,2.918711159,8.132699434,1.461347418194606,1.131702656198255
26,10,0.0011366979030575316,1,1.597098525,5.504797683,7.101896207999999,1.0781601341868294,0.9679874503357824
27,10,0.0011366979030575316,1,3.3297042759999997,9.645622635,12.975326911,1.8029462200021236,1.2907054317260738
28,10,0.0011366979030575316,1,3.099883664,4.701174957,7.801058621,2.092919605383465,1.4853779501603526
