id,p_x,p_y,p_z,o_x,o_y,o_z,o_w
0,-0.15,0.08,0.3,0.6963642403200189,0.12278780396897282,0.12278780396897285,0.696364240320019
1,-0.14517824957240413,0.06934304749427515,0.2970040263500626,0.8365558839130606,0.20026161403382622,0.13925953567557806,0.49058772993056704
2,-0.1397911937657919,0.0611769989209141,0.2894991078090426,0.8949440111357324,0.24400439560864345,0.14810202597267172,0.34293273649323214
3,-0.13447798437028052,0.05550279705626666,0.27979496456248526,0.9182404196229723,0.2693698502379308,0.1554933226829864,0.24514534903690705
4,-0.1293198241277147,0.051674725281667735,0.2691024566825509,0.9266606773855369,0.28456108543710684,0.16375801577233795,0.18305269709168515
5,-0.12422302603247595,0.04910115513657072,0.2579936809560141,0.9287058835465973,0.2940339198898662,0.1738631058870398,0.14429503190146858
6,-0.11906147946974577,0.047358733879713816,0.2467482774251522,0.9277362486736486,0.2999786106871864,0.18615286061890662,0.121100778323385
7,-0.11371371626410366,0.046165195561527074,0.23551527727789226,0.9250396063119422,0.303648682749469,0.20101455453710723,0.10813118460003873
8,-0.10807098185576706,0.045336163595200284,0.2243947964069235,0.9210325781507555,0.3056741104514005,0.21865118473965753,0.102244743613848
9,-0.102032831127916,0.04475149902795867,0.21346815974683833,0.9156713155045647,0.3064154962606904,0.239532080977266,0.10139017603375175
10,-0.09550619851072915,0.0443325741858656,0.20282033767675178,0.9087525163589509,0.3060232210267736,0.263876900753271,0.10434382326003555
11,-0.08840254564570585,0.04402758723061226,0.1925458609958708,0.899833155478775,0.3045225341206961,0.2922067556311575,0.11036997090392475
12,-0.0806419188515705,0.04380219029724118,0.18275938327279923,0.8884620124524879,0.30186053532502105,0.3246008794584106,0.11895267419017375
13,-0.07215627031448654,0.043633508651366434,0.17359629702504184,0.8739488545593357,0.297888058211488,0.3614175539955566,0.1298208613947816
14,-0.06289988346252624,0.043506300680192185,0.16521715702706757,0.8557301110740055,0.2924607194011768,0.4023097231943069,0.14261693879738235
15,-0.05285818030178627,0.0434104661869219,0.15780222558346174,0.8330223144181204,0.2853559290925996,0.44716678934294374,0.15712313617637894
16,-0.04206112975566021,0.04333940434290026,0.15154582112085588,0.8054347803685262,0.2764651497241946,0.49493384441139066,0.17286504914772072
17,-0.030590485708579335,0.04328890994643186,0.14664038086203013,0.772455956317966,0.26564084704949653,0.5448318227679099,0.18948620220775786
18,-0.01858531873324508,0.04325641846940408,0.14325891886985165,0.7343434282283338,0.2529889675590491,0.5951169507048126,0.20633014005488856
19,-0.006234818705273345,0.04324049190348214,0.14153255037306206,0.691306425459446,0.2386049521628335,0.6445665711931291,0.2229283253025251
20,0.006234926431997554,0.043240491688869086,0.14153257317405807,0.6444836092264754,0.22290046007773032,0.6913838017885573,0.238630888528608
21,0.018585178340648698,0.04325641783432372,0.1432588893043656,0.595203245477055,0.2063590858543829,0.7342733912500494,0.25296563237142705
22,0.030590594782076527,0.04328890891625377,0.1466404461931885,0.5447452842978215,0.189457261044318,0.7725171288569644,0.26566107561225977
23,0.04206099145296079,0.04333940295710449,0.15154573655261053,0.49501845746033446,0.1728931132246627,0.8053825884362646,0.27644815864240746
24,0.05285829201213858,0.04341046449558252,0.15780233461947513,0.44708667050701145,0.15709692351725518,0.8330655415168585,0.2853697061945991
25,0.0628997481272728,0.04350629874017216,0.16521701886957535,0.40238410953959863,0.14264068089180518,0.8556948686092196,0.29244992114992474
26,0.07215638512026734,0.04363350652288213,0.17359645126149756,0.36135023139102435,0.12980027569911978,0.8739769848928681,0.29789617080395137
27,0.08064178657347487,0.04380218804124833,0.18275919297384496,0.3246610224459333,0.11896970074748588,0.8884397056948818,0.3018547997849404
28,0.08840266334995804,0.0440275849072188,0.1925460617443691,0.2921540321027052,0.11035711454812636,0.899850622948895,0.30452616500594715
29,0.09550606889670665,0.04433257185377267,0.2028200963653673,0.2639227918247571,0.10435192226308466,0.9087388259271899,0.3060215393201884
30,0.10203295122327882,0.04475149674479079,0.2134684079409922,0.23949268609849275,0.10138795278602696,0.9156819382320687,0.30641528083754166
31,0.1080708543483435,0.04533616141847644,0.2243945048302762,0.21868486891950933,0.10223950231438082,0.9210244058056616,0.3056763912743227
32,0.11371383818687071,0.04616519354989516,0.23551557349822047,0.20098611549117532,0.10814669819104018,0.9250455290716324,0.3036439398287541
33,0.11906135352375256,0.04735873209381124,0.2467479360191483,0.18617672096014162,0.1210706502080264,0.9277327903991476,0.299986659451628
34,0.12422314926421084,0.049101153638298235,0.25799402551205963,0.17384342102095346,0.1443469488295096,0.9287055752345665,0.29402105002801343
35,0.1293196992453451,0.05167472412942809,0.2691020656411818,0.16377414081631542,0.18296790344753083,0.9266682762257133,0.2845815927721925
36,0.13447810841510216,0.055502796291363315,0.2797953575363744,0.15547984700352982,0.24527997530285334,0.9182165460532536,0.2693364539850182
37,0.13979106942616742,0.06117699853755309,0.2894986671118359,0.14811525238037554,0.34272570599569363,0.8950058091432992,0.24406057457483596
38,0.14517837387261545,0.06934304739310863,0.2970044676846812,0.13924043725180227,0.4908865179579677,0.8364068962437485,0.20016500952196373
39,0.15,0.08,0.3,0.12278780396897289,0.6963642403200189,0.696364240320019,0.1227878039689729
