id,p_x,p_y,p_z,o_x,o_y,o_z,o_w
0,0.02,0.15,0.3,0.5792279653395692,0.40557978767263886,0.4055797876726389,0.5792279653395693
1,0.03166284989526345,0.14569219797516053,0.2990879539244466,0.6226082115047085,0.4317673181833568,0.3715200823401119,0.5365713618277221
2,0.04304964216391216,0.1413194907464996,0.2964709049158303,0.6577964126028059,0.45011480428127887,0.33901335932967946,0.49977043202825683
3,0.05399265986117692,0.13686975658986103,0.29243959287176696,0.6877418969670757,0.4625651246358012,0.3067957279219644,0.46788991221827575
4,0.06440096892241859,0.13230251358072606,0.28726951550492696,0.7116162189906049,0.4693108097474776,0.27704464933191447,0.44339145571406635
5,0.07423617241458971,0.12755823680994122,0.2812050121507763,0.731999718901415,0.47168097267491516,0.24759871325189622,0.4247214955011112
6,0.08349227251740603,0.12256246728081206,0.27446436560256776,0.7482533278131485,0.47017208440626124,0.22013344101154922,0.4130332148992804
7,0.09218015474554872,0.11723313837800736,0.26723750414916464,0.7619923030440747,0.46519517269500155,0.19243648893843948,0.4073443004730767
8,0.1003162170921929,0.11148308126558668,0.25969728133252934,0.7726188130157622,0.45742635199508486,0.16596874504277787,0.4077691478563682
9,0.10791436161791385,0.1052265731729053,0.25200075337064687,0.7810007763326062,0.44658432933568515,0.13855442747639082,0.4140083269529154
10,0.11498061641116639,0.09838187852773857,0.2442998406818645,0.7865924683873742,0.4335264124903455,0.11166037061090821,0.42527532256709055
11,0.12150984407229884,0.09087845247245967,0.23674189143957464,0.7896595684866715,0.4174513976718027,0.0831542041597524,0.44187947996015875
12,0.1274842009327971,0.0826604398693988,0.22947691905286782,0.7898121182035465,0.3994573636914278,0.054680194717202285,0.46221283932535895
13,0.13287317801965384,0.07369472226456038,0.2226554405665415,0.7868081645575197,0.37835392492460906,0.024146477289698345,0.4870299449872344
14,0.1376351471939044,0.0639746502661569,0.21643074630294543,0.7805946159682208,0.3555673918812465,-0.006501285221340762,0.5140054558491228
15,0.14172033582175364,0.05352719168366333,0.21095292856925427,0.7705161393048722,0.32963274779566637,-0.03929963881849109,0.5441531668934122
16,0.14507505737709675,0.04241418516044701,0.20636579022847767,0.7570875369286953,0.3023839405204519,-0.07195053831617841,0.5746351311733187
17,0.14764685150781245,0.030735201820869647,0.2027977150429297,0.7393641720464943,0.27218618140662537,-0.10641087882531694,0.6065740091801699
18,0.14938998085857033,0.018622851111866328,0.20035521890554925,0.7186306702333586,0.24129768234733528,-0.14008870868835935,0.6369619627511414
19,0.15027056331729496,0.00623865144503381,0.19911408697776312,0.6937902909109066,0.20799071098135852,-0.17485177890426767,0.6669495871482654
20,0.1502705638396747,-0.006238510328200219,0.19911411031718798,0.6664742551563173,0.1742851956500711,-0.20854530561215484,0.694223014094305
21,0.14938998239662454,-0.018622973599794552,0.2003551909107554,0.6374678521888045,0.140659981603379,-0.24076213900338903,0.7182500257038925
22,0.1476468539769545,-0.030735061589530727,0.20279778285175007,0.6060519409905403,0.10584218182886464,-0.2726960688585396,0.7396859680948412
23,0.14507506064480835,-0.04241430904972953,0.20636570886132186,0.5751583555794977,0.07251058938443124,-0.3019048964333917,0.7568279288872428
24,0.14172033971888467,-0.05352705326779895,0.21095304131694964,0.543644630688226,0.03875334916380299,-0.3300767034424315,0.7707126982845345
25,0.1376351515280979,-0.0639747762603145,0.21643061215281326,0.5144844458519495,0.00703059133038712,-0.3551612408290857,0.7804593639483749
26,0.13287318258924777,-0.07369458610855796,0.22265559890882136,0.48659484739100195,-0.024657071677542376,-0.3787203930547243,0.7868852185632229
27,0.12748420553982182,-0.08266056814662286,0.22947673278920352,0.462591628047841,-0.054188072981135225,-0.3991314711426083,0.789789026987699
28,0.1215098485336676,-0.09087831850339392,0.23674209601467056,0.4415683591654725,-0.08362958515682968,-0.41773606716587075,0.7896328608025377
29,0.11498062056763593,-0.09838200879552056,0.2442996028787679,0.4255094342847532,-0.11119844342938154,-0.43328349991342435,0.7866651360117122
30,0.10791436534080932,-0.10522644092043788,0.2520010046696314,0.4138596197802614,-0.1390073421776537,-0.44678442094852466,0.780884661863539
31,0.10031622028811933,-0.11148321292229818,0.2596969923932389,0.4078256784326997,-0.16551948994744323,-0.4572709616462357,0.7727773172742413
32,0.09218015735939519,-0.11723300715672415,0.2672378024955952,0.4073860447526847,-0.19288807851829975,-0.46530264886584977,0.7617901578943544
33,0.0834922745338358,-0.1225625996037975,0.2744640257904743,0.41288843083703514,-0.21967339504886169,-0.47011745966163493,0.7485027169689691
34,0.07423617385798563,-0.12755810590541036,0.2812053577771867,0.42497322583215746,-0.248073212023836,-0.47167565764878056,0.7316963255228071
35,0.06440096985487984,-0.13230264590955057,0.287269125059421,0.44303070007669143,-0.27655069167372914,-0.46938573908899406,0.7119835262590121
36,0.05399266037772864,-0.13686962544420564,0.29243998606901506,0.4683595358169032,-0.30731263834165157,-0.462408041960523,0.6872969447444848
37,0.043049642383625686,-0.141319622680227,0.2964704642283141,0.4991960230206712,-0.3384728883441146,-0.4503696258576242,0.658336262529417
38,0.03166284994671781,-0.1456920664073795,0.29908839523326664,0.5372408692690771,-0.3720807204017366,-0.43139646142102706,0.6219527948049975
39,0.02,-0.15,0.3,0.5792279653395692,-0.40557978767263886,-0.4055797876726389,0.5792279653395693
