experiment_id,peak_err,peak_err_waypoint_idx,avr_err,peak_err_change,peak_err_change_idx,avr_err_change,smoothed_peak_err,smoothed_peak_err_waypoint_idx,smoothed_avr_err,peak_err_change_on_smoothed,peak_err_change_idx_on_smoothed,avr_err_change_on_smoothed,scoring_duration_per_waypoint,min_distance,min_distance_idx
1,44.077674821193185,61,33.86341163376249,0.6982592211598408,1,-0.0087674651554961,44.063026243198095,57,33.92819039600887,0.6251260606281808,37,-0.019592949795181537,0.6206637929987024,-41.20882266540425,57
2,42.223751865754174,60,34.43931376278026,0.5757348423396103,23,-0.017120813792867787,41.96426924900718,59,34.48551087433978,0.36237883644200414,35,-0.022760835413211354,0.6050859881036076,-50.702167232349794,57
3,46.49842680533298,58,36.46034803760611,0.7068200194104151,20,-0.019764131434309086,46.34495622876918,55,36.5072490399746,0.5409586847096856,37,-0.026482141172779063,0.6081908337863875,-43.46587854906048,54
4,46.69365478560224,60,33.93862995961778,0.8924524708593182,45,-0.01602666639379417,46.09385663336241,58,34.01074800051431,0.8178905519739266,44,-0.020938056804252973,0.6323817335529092,-39.84655477896393,54
5,52.539596369767864,57,36.21724937494385,1.1176555104718062,53,-0.018491830961155625,51.515215638921916,57,36.291317421280354,1.0053793352365228,46,-0.024038409944671928,0.6505128866360511,-55.948392435956286,52
6,45.613218754424594,56,34.80324908619978,0.7103919637514409,47,-0.016905922063975228,45.48999170337971,57,34.863234284074366,0.6767177155930367,42,-0.021307818048131404,0.6068332754535439,-54.15266087024065,56
7,44.803397860044676,60,36.036312497656766,0.6299674193376603,24,-0.01719511787746166,44.49577123423006,57,36.0802265879322,0.4102561716125637,34,-0.024294214534040088,0.5871746275160048,-61.58359237163,57
8,48.294310915374844,58,36.8042093748367,0.6873755277968066,21,-0.0193522141450987,47.90811972090675,57,36.863467731557314,0.5770184461738026,38,-0.02596867722915881,0.6074318532590512,-69.26017840718897,56
9,44.80218233401541,60,34.57342904199671,0.5769622663508827,21,-0.01705627352801383,44.223560976716435,58,34.62935085540076,0.5043888770215689,45,-0.022907626215347247,0.6057150776003614,-58.980853790848585,54
10,45.29346066764295,53,31.784083230310994,1.5250917753166746,39,-0.018743561408074056,44.994404579328176,53,31.81577621013584,1.3996229701404328,40,-0.018935847443784622,0.631526835170793,-46.293041625138144,48
11,48.39747302903856,55,35.97429523529127,1.0747317660905367,45,-0.016058157651417042,48.08945587291263,55,36.00455838720363,1.00299600210515,43,-0.024848335311921592,0.6402921617766957,-34.31945850812346,51
12,40.88555448083238,40,35.38788989766243,0.7831504272788194,1,-0.017643356851340997,40.89930701878652,39,35.377888547446204,0.42782002048389295,0,-0.025751704586398354,0.5657209467004847,-22.818131093299364,57
13,51.403663283348926,60,36.944313420671016,0.9196574696686568,56,-0.019599641573788667,50.402849387757584,59,37.01318567109515,0.7444607189259997,49,-0.027205042776766886,0.6518945281888232,-45.29629042336719,54
14,47.10527466168394,55,36.68943138866931,0.6654004770768296,22,-0.017871596726098643,47.1713592994893,56,36.74456185805345,0.5779447666244358,40,-0.02471865699973299,0.599306583404541,-62.8449767379889,57
15,42.34187521554949,57,32.60397114860575,0.6443606931497001,47,-0.021655069725984955,42.080454739563464,57,32.66061877142632,0.6613454798820899,45,-0.02578144410679739,0.6212795693197368,-39.622564639743594,54
16,46.21436457926954,59,36.44535156337688,0.6686591200564216,21,-0.019107493323338796,46.05928300568907,56,36.49568140723711,0.5262031727365398,36,-0.025135660687721006,0.6002938335324511,-65.02838480670952,57
17,47.760262880003886,60,36.527914612738975,0.5957465487793243,48,-0.01916540857943046,47.447964938967885,58,36.58583306659919,0.5952779494054241,46,-0.026239584741820553,0.6240961404494297,-64.23799027217913,57
18,41.565353472121224,61,31.271256680694123,0.5999015389809941,48,-0.020924843605119828,41.16378614896372,61,31.337144129081498,0.6037864677043567,47,-0.02293385554265721,0.6122488327968267,-47.5822823290582,54
19,41.80043177948755,47,35.66523061950591,0.63283363674595,26,-0.014492139207005584,41.52919121651499,46,35.67840057650905,0.3567115888398256,24,-0.02145808505643758,0.5747334839385233,-38.38040312171669,54
20,40.77852735329716,40,35.40470325403086,0.8902192300444938,1,-0.018039345213316394,40.791041623468665,39,35.394092462511225,0.4559354807445502,0,-0.026471431593602185,0.5655908525725941,-24.64539935673517,56
