experiment_id,num_segments,avr_state_approx_error,planning_success,dlo_simplification_time,urdf_generation_time,planning_time_ompl,planning_time_trajopt,total_planning_time,total_process_time,ompl_path_length,trajopt_path_length
1,10,0.000157471198732176,1,0.015612519,0.017035458,0.06510274099999999,1.096354447,1.161457188,1.194105165,0.9758787923633561,0.8241237694923433
2,10,0.000157471198732176,1,0.015587311,0.016801489,0.06490797899999999,1.2434064630000001,1.3083144420000001,1.340703242,1.101271119610814,0.8531870045632317
3,10,0.000157471198732176,1,0.015750036,0.017095265000000002,0.063797925,1.216979575,1.2807775000000001,1.3136228010000002,1.1430684007002692,0.8730862681467029
4,10,0.000157471198732176,1,0.015564283,0.016614567,0.06829473400000001,1.082446183,1.150740917,1.182919767,1.0079954857265274,0.8586511821986059
5,10,0.000157471198732176,1,0.015709054,0.047385511,0.060795686,1.2017341750000001,1.2625298610000002,1.325624426,1.0706944912640388,0.8342705640060162
6,10,0.000157471198732176,1,0.015984302,0.016758573,0.41397131000000004,1.29016976,1.70414107,1.736883945,0.8210167695475822,0.7963154975632779
7,10,0.000157471198732176,1,0.015776509,0.016834116000000003,0.086927413,0.9741753830000001,1.0611027960000001,1.0937134210000001,1.087891736162745,0.8925521276596363
8,10,0.000157471198732176,1,0.015812557,0.017428833999999997,0.059196503,0.9403492139999999,0.999545717,1.032787108,1.0704509036578518,0.9496816773689556
9,10,0.000157471198732176,1,0.015591295,0.017036985,0.095926623,1.250070209,1.345996832,1.378625112,1.0660344319670543,0.8591503461842876
10,10,0.000157471198732176,1,0.015760298,0.017212983999999997,0.068996432,0.973754134,1.042750566,1.075723848,1.1204895227153011,0.9327248866953542
11,10,0.000157471198732176,1,0.015876456,0.017455931,0.380823075,0.996209738,1.377032813,1.4103652,0.848661766109033,0.8161740447628087
12,10,0.000157471198732176,1,0.015906153,0.016951853,0.075356932,0.914150154,0.989507086,1.022365092,1.1448913665162472,0.8860419504886762
13,10,0.000157471198732176,1,0.01588387,0.01692175,0.391452134,1.621761227,2.013213361,2.046018981,0.8106377708202546,0.8123885990534468
14,10,0.000157471198732176,1,0.015804873,0.016766792,0.057807122,1.163127838,1.2209349600000001,1.2535066250000002,1.1237021885660852,0.8476460819972041
15,10,0.000157471198732176,1,0.015675598000000002,0.016868147,0.06477637300000001,1.094204608,1.158980981,1.191524726,1.025911609459304,0.8361362492603231
16,10,0.000157471198732176,1,0.015765051,0.016840011000000002,0.051868243999999994,0.9829667510000001,1.034834995,1.067440057,1.1756836965139383,1.033704457924137
17,10,0.000157471198732176,1,0.015703167,0.016542364,0.379007002,1.153382476,1.532389478,1.564635009,0.8437486621828739,0.8178363426010202
18,10,0.000157471198732176,1,0.016291041,0.017687111000000002,0.091403928,1.504306836,1.5957107640000001,1.629688916,1.1872029046309647,0.8807221569431908
19,10,0.000157471198732176,1,0.016437024999999997,0.017117053,0.066053618,1.030330653,1.096384271,1.1299383490000001,1.0533652111129872,0.855814220680135
20,10,0.000157471198732176,1,0.0156998,0.017247404,0.06287714600000001,1.032971007,1.095848153,1.128795357,1.0305408285533788,0.8465873806646026
21,10,0.000157471198732176,1,0.016216483,0.017916459,0.07540391099999999,0.9503285039999999,1.0257324149999998,1.0598653569999998,1.0947944297196823,1.0048679095744246
22,10,0.000157471198732176,1,0.015768957,0.017200209,0.06704525800000001,0.934550565,1.001595823,1.034564989,1.0674451640894034,0.8892682901769172
23,10,0.000157471198732176,1,0.015698095999999998,0.017169595000000003,0.052765491,1.105547261,1.1583127519999998,1.191180443,1.1489456580451993,0.8966176320310373
24,10,0.000157471198732176,1,0.016480888,0.017731618999999997,0.070643915,1.985546247,2.056190162,2.090402669,0.9577657561119194,0.8301597407703228
25,10,0.000157471198732176,1,0.016448714,0.017899669,0.07089838,1.292918504,1.363816884,1.398165267,1.074882697257632,0.8715940810625135
26,10,0.000157471198732176,1,0.015920867,0.016995344,0.415054241,1.03831468,1.453368921,1.4862851320000001,0.8215628391239158,0.7944775390909897
