experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
1,1,1,1,0.01191789582738849,34.3610279017244,30.004923105,0.9596225238071912,0,2024-08-31-22-55-36,0.0006005307552096837,0,0,0.455500910103751
2,1,1,1,0.0071528306732362,37.838053497930815,29.097691298,0.9586705067995697,0,2024-08-31-22-56-17,0.00031963073469755665,0,0,0.47915446876864004
3,1,1,1,0.015962082900374527,37.59782958792715,30.773052931,0.9590996676168891,0,2024-08-31-22-56-57,0.00033986027709471034,0,0,0.48200733541104107
4,1,1,1,0.010757877006905791,37.17393706625663,35.697052955,0.9585361768353687,0,2024-08-31-22-57-39,0.00030912431247437117,0,0,0.6414409682005658
5,1,1,1,0.0029529479217134994,37.212861908991755,27.141153574,0.9590121121184075,0,2024-08-31-22-58-28,0.00045748593040851194,0,0,0.4177497655188193
6,1,1,1,0.00814326065866721,37.40743289153496,34.217798471,0.9605117467719526,0,2024-08-31-22-59-05,0.00033709167334969553,0,0,0.6326943457888142
7,1,1,1,0.0032087049630972423,37.23141211109449,28.712314129,0.9582188279529207,0,2024-08-31-22-59-52,0.00045629974018016766,0,0,0.4251542923183978
8,1,1,1,0.003999825935784555,36.99681627767711,31.083755731,0.9640436141877536,0,2024-08-31-23-00-32,0.00033219782250475756,0,0,0.5052409576404503
9,1,1,1,0.009284395090015789,36.93316778902646,37.500168085,0.9607938205252508,0,2024-08-31-23-01-14,0.00042007254909924916,0,0,0.6537592847729458
10,1,1,1,0.008676291922904195,36.74957479009291,32.680650235,0.9609999882052583,0,2024-08-31-23-02-04,0.00044305846919717474,0,0,0.5794270649779781
11,1,1,1,0.010136290153526671,36.827069149080025,31.362799883,0.9592251276225211,0,2024-08-31-23-02-49,0.0004609462860418522,0,0,0.5138288695126744
12,1,1,1,0.008113594079409345,37.35083249549295,27.924411059,0.959510309662955,0,2024-08-31-23-03-32,0.00034322403061368156,0,0,0.44918673186778885
13,1,1,1,0.008323506484205188,37.03106645808835,26.491270542,0.9581213789927134,0,2024-08-31-23-04-11,0.00043812666713443916,0,0,0.41955223423649635
14,1,1,1,0.009589200252597062,36.90084526579354,26.882853031,0.9602296013823549,0,2024-08-31-23-04-49,0.0003781036082950045,0,0,0.5172810419746937
15,1,1,1,0.001923340652033962,37.29669962102879,31.530940055,0.9569698745862907,0,2024-08-31-23-05-26,0.0005755532039069317,0,0,0.4379307250143079
16,1,1,1,0.007827767143642254,36.71096198447789,29.010408402,0.9575676848114321,0,2024-08-31-23-06-09,0.0005545360035653524,0,0,0.46560730237854697
17,1,1,1,0.008878902438007685,36.53299688782864,29.20647335,0.9595071631650327,0,2024-08-31-23-06-49,0.0005893647047622118,0,0,0.4410165666683185
18,1,1,1,0.014025156894409663,36.565219817997885,31.505348682,0.961483662910882,0,2024-08-31-23-07-30,0.00046151706101527697,0,0,0.5745216323690515
19,1,1,1,0.009036180727374842,36.813310666745046,30.315121889,0.95843239838065,0,2024-08-31-23-08-13,0.00021474437969784635,0,0,0.5038862633922065
20,1,1,1,0.007990116191137753,37.57629894260149,31.110035658,0.9571461959685743,0,2024-08-31-23-08-55,0.000343856478525929,0,0,0.47942737270584823
21,1,1,1,0.008628029326722604,37.37026186895618,42.252848148,0.9590285854382168,0,2024-08-31-23-09-38,0.0005440238510322825,0,0,0.6279736464861668
22,1,1,1,0.006996964231918871,37.54721691053511,31.160764932,0.9573556639910444,0,2024-08-31-23-10-35,0.0001407581492251282,0,0,0.47627270913733044
23,1,1,1,0.008779771063610126,37.044604466348986,25.104870558000002,0.9583845522753149,0,2024-08-31-23-11-17,0.00044917909068059456,0,0,0.40878269265470885
24,1,1,1,0.013051689901047733,37.43282247787825,34.461734772,0.9597873238230552,0,2024-08-31-23-11-52,0.00046160753842836906,0,0,0.5776278579281998
25,1,1,1,0.010863327284496092,37.08080661693517,31.309998512,0.9594894924278897,0,2024-08-31-23-12-39,0.0005741591292290058,0,0,0.5225902748209328
26,1,1,1,0.011290732608384575,36.90469259666069,29.047796488,0.9593324630134736,0,2024-08-31-23-13-23,0.00031717853950361533,0,0,0.5023528396462763
27,1,1,1,0.012149709884906178,37.22482492453523,32.397734642,0.9608417654314501,0,2024-08-31-23-14-02,0.00046653033859510063,0,0,0.5986128138595587
28,1,1,1,0.01339306838281458,37.62570408301703,29.022712707,0.9586086873175272,0,2024-08-31-23-14-47,0.00044566624839208245,0,0,0.5527545908216593
29,1,1,1,0.01431630639808576,36.86030755215848,31.71433115,0.9614966160249103,0,2024-08-31-23-15-26,0.00047172585319609227,0,0,0.5959077993569929
30,1,1,1,0.007631666049654915,36.395873453257394,28.821948767,0.9583309089471465,0,2024-08-31-23-16-10,0.0001275493817804205,0,0,0.4706057951319389
31,1,1,1,0.010455317619268666,36.43030640895644,26.900679588,0.9578431596771835,0,2024-08-31-23-16-50,0.00012355920258989248,0,0,0.46797430082712815
32,1,1,1,0.016779255502790434,37.26648012516497,33.595874786,0.9570546027588374,0,2024-08-31-23-17-28,0.000314904983865752,0,0,0.6074353496479108
33,1,1,1,0.006069050817864869,37.399731604566114,30.000215292,0.9583856248838661,0,2024-08-31-23-18-13,0.00045875134198886916,0,0,0.4855086920586424
