experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error
1,1,1,1,-1.987262837675085e-05,35.777339500082554,84.662527799,0.987205643461973,0,2024-08-19-12-06-07,0.0010940974082648675
2,1,1,1,-1.6737005721982705e-05,34.99349109547485,83.129745245,0.9890826797008649,0,2024-08-19-12-08-20,0.001063073033639043
1,0,0,0,0.007794415401891255,46.45682289538375,41.070393563,0.6186728101612214,0,2024-08-20-07-08-52,0.3359505223497577
2,0,0,0,0.008178423853193634,44.05362340614907,52.935486793,0.7061327552362631,0,2024-08-20-07-10-00,0.25547691875135176
3,0,0,0,0.009923788560044045,41.129210471365525,42.11119008,0.6236497514582102,0,2024-08-20-07-11-27,0.32408575551545676
4,0,0,0,0.00790595494707783,40.516507799534985,39.045813322,0.5902499417651648,0,2024-08-20-07-12-37,0.3359251270535789
5,0,0,0,0.006384032956095537,41.543757938910815,31.5811584,0.4952064049414869,0,2024-08-20-07-13-42,0.3220403944966959
1,0,0,1,-0.00013943448596093644,42.61255612696294,101.824447871,0.4810676882428755,1,2024-08-20-07-19-37,0.00018802100371923973
2,0,0,1,-0.00013799781339512678,41.12401312675904,105.096746922,0.48686500908933567,0,2024-08-20-07-22-20,0.00018778571985844292
3,0,0,1,-0.0001436759961980555,41.04550177307751,100.790581703,0.4769273643405953,1,2024-08-20-07-25-07,0.00018963236312136283
