experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error
1,1,1,1,-8.767915253572674e-06,35.47157555521996,19.536769629,0.9684403182567686,0,2024-08-19-11-45-15,0.0011735041825020327
2,1,1,1,3.875702867468166e-05,35.09697963389278,17.693830252,0.9699684200064337,0,2024-08-19-11-45-47,0.001153216409410179
3,1,1,1,-8.862894545289647e-06,34.71203626593146,19.647363663,0.9670392410328449,0,2024-08-19-11-46-17,0.0009911549113678655
4,1,1,1,-1.9422530423559375e-05,33.60478968311375,19.31272316,0.9619153861693731,0,2024-08-19-11-46-49,0.001143743183532555
5,1,1,1,-1.0276198570986183e-05,34.94518650014163,19.77382493,0.9670075582345666,0,2024-08-19-11-47-21,0.0011286504745108797
1,1,1,1,9.055565606553492e-05,35.14668626922859,24.611139536,0.9739184807054877,0,2024-08-19-11-59-55,0.0012532327955875533
2,1,1,1,4.253376697334694e-06,34.55659944592558,24.250071287,0.9739413263360682,0,2024-08-19-12-00-38,0.0012299334623017233
3,1,1,1,0.0009564328426587168,35.14003437110566,25.327237606,0.9739280033148803,0,2024-08-19-12-01-20,0.0012229105189491504
4,1,1,1,0.003139719474870699,34.157186279657985,27.51983118,0.9753964575724334,0,2024-08-19-12-02-02,0.001261694762008334
5,1,1,1,0.0005186900767848733,33.774817027357194,25.077856064,0.9740165991572174,0,2024-08-19-12-02-49,0.0012370670195711812
