experiment_id,num_segments,avr_state_approx_error,planning_success,planning_time_ompl,planning_time_trajopt,total_planning_time,ompl_path_length,trajopt_path_length
1,3,0.01293170874089877,1,0.069491491,0.288528612,0.35802010300000003,0.6361213644097714,0.33883860865790966
2,3,0.01293170874089877,1,0.021445452,0.582805741,0.6042511930000001,0.7976536041748602,0.3418804022541045
3,3,0.01293170874089877,1,0.013192625,0.37398398200000005,0.38717660700000006,0.5260363395812103,0.3361971351174997
4,3,0.01293170874089877,1,0.012045832000000001,0.31372619500000004,0.325772027,0.5571775638205873,0.33584538569439665
5,3,0.01293170874089877,1,0.014292769,0.344049508,0.358342277,0.7625727736395825,0.3484293524246453
6,3,0.01293170874089877,1,0.01314742,0.324938718,0.33808613800000004,0.8793732730659013,0.3444239611223289
7,3,0.01293170874089877,1,0.014507352,0.329094075,0.34360142699999996,0.6490071457839558,0.3446845991812977
8,3,0.01293170874089877,1,0.017696621,0.304181149,0.32187777,0.5626331698412933,0.336578913236111
9,3,0.01293170874089877,1,0.013241286000000001,0.286447933,0.299689219,0.7822621593431359,0.3378072531886683
10,3,0.01293170874089877,1,0.021567759,0.357131939,0.37869969800000003,0.9501960804041075,0.33742758317425103
11,3,0.01293170874089877,1,0.015437971,0.30113172200000005,0.31656969300000004,0.6537223134018822,0.3498615893359333
12,3,0.01293170874089877,1,0.011692973,0.339457906,0.35115087899999997,0.6450849151164867,0.3354425514573258
13,3,0.01293170874089877,1,0.012887529,0.339051547,0.351939076,1.0266018376534716,0.348193019270683
14,3,0.01293170874089877,1,0.031089203000000003,0.289569187,0.32065839,0.8345642790228082,0.3497788359337856
15,3,0.01293170874089877,1,0.017745528,0.329906176,0.347651704,0.6131382098744251,0.354148170443186
16,3,0.01293170874089877,1,0.019639435,0.381316327,0.400955762,0.8428110666891041,0.33724558351532385
17,3,0.01293170874089877,1,0.017669487,0.28867624599999997,0.30634573299999995,0.7405652001218592,0.34826968854661305
18,3,0.01293170874089877,1,0.019334482,0.270627372,0.28996185399999996,0.5760554107029437,0.33732453979989846
19,3,0.01293170874089877,1,0.012789044000000001,0.145587472,0.158376516,0.6352785209985551,0.34977291742212513
20,3,0.01293170874089877,1,0.013585459999999999,0.309616327,0.323201787,0.6523108988583938,0.3375348480387268
21,3,0.01293170874089877,1,0.014845078000000001,0.375949098,0.390794176,0.9737164889899651,0.33881907589375504
22,3,0.01293170874089877,1,0.017991273,0.34764296,0.365634233,0.8550258653917885,0.3373726280573189
23,3,0.01293170874089877,1,0.012241751,0.380627028,0.392868779,0.7161845350076291,0.3580628861944087
24,3,0.01293170874089877,1,0.017375792,0.524829993,0.5422057849999999,0.7192666592306751,0.33994975839611796
25,3,0.01293170874089877,1,0.017793088999999998,0.162557207,0.18035029600000002,0.6595328966769817,0.33507246051690975
26,3,0.01293170874089877,1,0.079825695,0.266552293,0.34637798799999997,0.49521058529252987,0.4223395452535268
27,3,0.01293170874089877,1,0.011027195,0.269392137,0.28041933199999997,0.6503245535306418,0.3539051404147823
28,3,0.01293170874089877,1,0.014306275,0.244737723,0.259043998,0.5559826622651666,0.3390945974299066
29,3,0.01293170874089877,1,0.012820871999999999,0.34002982600000003,0.352850698,0.677120895317171,0.3437184059171752
30,3,0.01293170874089877,1,0.015417715,0.258259118,0.273676833,0.7760336588177651,0.5352508414312624
31,3,0.01293170874089877,1,0.016189178,0.300127186,0.31631636399999996,0.7225237265400356,0.33617869152778557
32,3,0.01293170874089877,1,0.014424264000000001,0.067385912,0.08181017600000001,0.47744473138773147,0.33710925424812466
33,3,0.01293170874089877,1,0.02579132,0.250229161,0.276020481,0.729260541091571,0.33633954769302604
34,3,0.01293170874089877,1,0.029072023000000002,0.211811232,0.240883255,0.6535448541541135,0.35816653497430845
35,3,0.01293170874089877,1,0.021621473000000002,0.34739543700000003,0.36901691000000003,0.6055718450214272,0.33558083300570446
36,3,0.01293170874089877,1,0.016955843999999998,0.398859258,0.415815102,0.8548613253768652,0.3387195536863044
37,3,0.01293170874089877,1,0.020720434,0.13516814500000002,0.15588857900000003,0.47321605908847236,0.3473485984558578
38,3,0.01293170874089877,1,0.013762954,0.33512829699999996,0.34889125099999996,0.9583701444224969,0.3431729267907592
39,3,0.01293170874089877,1,0.018016566999999997,0.312834432,0.330850999,0.7118108861125951,0.3368761837289112
40,3,0.01293170874089877,1,0.013871366999999999,0.281724672,0.29559603900000003,0.8168842279321655,0.33639788842732804
41,3,0.01293170874089877,1,0.013417325,0.318340375,0.3317577,0.5810466609804021,0.34329448841678994
42,3,0.01293170874089877,1,0.011794899,0.218525536,0.230320435,0.5659847038271645,0.3394015433132656
43,3,0.01293170874089877,1,0.01289543,0.13905597,0.15195140000000001,0.8730381795375391,0.3560226197385354
44,3,0.01293170874089877,1,0.01606173,0.431454088,0.447515818,0.770224857591785,0.3463888615621024
45,3,0.01293170874089877,1,0.020745559,0.271733174,0.29247873300000005,0.9199438125847342,0.3456240239103692
46,3,0.01293170874089877,1,0.012842003,0.382323721,0.395165724,0.6192482832066001,0.3670558070517021
47,3,0.01293170874089877,1,0.017840474000000002,0.360579317,0.378419791,0.8564376607150322,0.3410042056740712
48,3,0.01293170874089877,1,0.068993707,0.317947464,0.38694117100000003,0.4378142305057668,0.3505313626076287
49,3,0.01293170874089877,1,0.014171091,0.309299971,0.32347106200000003,0.5071933754617387,0.3517583694068513
50,3,0.01293170874089877,1,0.018437597,0.30637152300000003,0.32480912000000006,0.8173914251195592,0.33727677925582444
