experiment_id,peak_err,peak_err_waypoint_idx,avr_err,peak_err_change,peak_err_change_idx,avr_err_change,smoothed_peak_err,smoothed_peak_err_waypoint_idx,smoothed_avr_err,peak_err_change_on_smoothed,peak_err_change_idx_on_smoothed,avr_err_change_on_smoothed,scoring_duration_per_waypoint,min_distance,min_distance_idx
1,69.04819632572148,56,47.32195994893609,1.5886615072620387,37,-0.04062654795877935,68.87388279605194,52,47.42598553999772,1.4930465591731805,33,-0.04429287422856064,0.649173527588079,-58.649790917686666,34
2,82.48515184964626,54,56.23407324445232,1.785976765976315,33,-0.007455661991622993,82.26072924053389,52,56.38293403661281,1.7531000032668203,31,-0.024816843922448116,0.666439574441792,-72.96386770913995,31
3,81.46058333948083,55,55.719589542658404,1.5337953066170158,31,-0.010272955712671469,81.17047151925989,53,55.83424714804934,1.4843529710043002,29,-0.026915221518109878,0.6228353359081127,-52.55904888438195,39
4,92.45299857706907,52,60.242769354427885,2.169038354971974,33,-0.008727215606960303,91.90252702653278,51,60.37030886722471,2.0799269724246496,29,-0.025418102268387494,0.638526592725589,-91.15156399853358,33
5,80.34454419214515,57,51.75323684643069,2.7782974569621004,38,-0.010676184107251078,79.9471393640574,56,51.9814497318622,2.4328862312225885,37,-0.03134813637315172,0.6730988261140423,-65.06673493165646,43
6,70.43803397623635,40,53.437485456641824,1.4787324556436268,1,-0.010796565830596221,70.44048651960037,39,53.43218970989278,1.3922049265530527,12,-0.030166250562494813,0.5832580048360942,-77.17366397678299,34
7,70.51415502419229,53,48.60364483438072,1.7209241224327272,34,-0.01619276578289177,70.3472950240807,49,48.71427713645806,1.6391812715826988,31,-0.02734537558601171,0.6445591861819043,-52.38584435456961,35
8,86.79784615267945,50,54.51235201974699,2.365945832727874,40,-0.012587726493982659,86.34046890835654,50,54.636899188022205,2.222791873203617,36,-0.03023941822853598,0.6239332770123894,-86.62501888595358,30
9,65.97956567370673,57,45.5005820741205,1.3681586673539101,38,-0.015418640096693897,65.36241684822842,54,45.60070570779818,1.3107533466131958,35,-0.026033473641138994,0.6191164593637726,-59.47085422546735,43
10,74.26476314830525,54,47.52581413971491,2.3604465895978777,40,-0.014304410922989064,73.48991568151123,53,47.71248893997238,2.1379933692155366,37,-0.03576153135586307,0.6691551502840019,-60.288748813676285,38
11,71.12092665189888,41,53.62751848901328,1.4140516004319892,27,-0.004878791174534437,70.87916214244807,39,53.638054651669705,1.3852939327757796,13,-0.02255177518502672,0.5858242717790015,-70.13670325830431,47
12,75.8569112484861,53,48.09418648974929,2.627532542638491,37,-0.01679775003733647,75.55019106922256,51,48.247228953942646,2.465169269248275,36,-0.02720881432459483,0.6531288506072245,-56.07824723805297,37
13,76.16197030182249,56,50.06554510188671,2.0369669552149006,38,-0.015509530698310178,75.83828489224518,54,50.233722241635284,1.9208744878008193,36,-0.030775448816345273,0.6455751848809513,-61.89533741041436,40
14,86.07720922409389,54,58.82423452078457,1.7564490872253202,29,-0.007312374590221573,85.79415650715096,51,58.93182011690585,1.7171051052253374,28,-0.02599258949092966,0.6179137524263358,-114.00349195360099,44
15,85.18550105827055,54,58.28835386801082,1.8585171097504087,30,-0.010965189203887464,85.20748749539939,52,58.41443534363705,1.8014253749651519,28,-0.02805435639636601,0.632240433751801,-94.72152939175233,42
16,65.57456817235602,57,48.4081700413654,1.1868582826617882,31,-0.01272843148597533,65.13622232320768,56,48.52484767461636,1.1506049551861959,30,-0.02593962834801879,0.6492724035993035,-67.01902485113766,47
17,85.67163511980554,53,59.116074959574625,1.814886845553211,29,-0.009659307413538232,85.80547494614638,51,59.24311231331333,1.8045458441227753,26,-0.02683858985753121,0.6735989547070161,-82.95749370894329,42
18,88.25725964287672,52,56.98294938389235,2.116478833562951,36,-0.006497326802235305,87.75942655142761,50,57.11890325584513,2.087416158252894,33,-0.02199336165097244,0.6348166053677783,-95.69569201604627,44
19,78.22260636243368,55,53.697471684368885,1.7485941416778275,32,-0.011984596310902302,78.10463528247315,52,53.82817532942939,1.6804595548596635,30,-0.025563167235999613,0.659892361841084,-72.10822062231436,42
20,80.37290371197253,52,52.42332126250535,1.9561094296128445,37,-0.00745374474801428,79.82425060708321,53,52.57449868460777,1.8823249878129968,35,-0.021290007024461995,0.6508869889341755,-68.87931244616335,45
