experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error
1,1,1,0,-1.1363698577416723e-05,18.34684217469393,85.68231988,0.8750322625748974,0,2024-08-19-09-48-12,0.19654032744933786
2,1,1,0,-3.698248564242304e-05,17.866241481230567,147.316938639,0.9753869446872802,0,2024-08-19-09-50-20,0.04506606198016477
3,1,1,1,0.004369297644082595,18.03336510780882,76.580271721,0.9886881249490287,0,2024-08-19-09-53-57,0.0010076232113930992
4,1,1,0,0.008812690746243548,17.68433410256154,135.31750679,0.9674112783211631,0,2024-08-19-09-55-51,0.19568081153709505
5,1,1,1,0.0028202078793364456,17.911636515591553,87.65251565,0.9905343000393552,0,2024-08-19-09-59-11,0.0010695409135494792
1,1,0,1,0.004570408046296331,30.814806538793718,58.997611999,0.9894239413042043,0,2024-08-19-10-03-15,0.000315273027477382
2,1,0,1,-9.023762012011483e-05,30.4893951735142,73.271378041,0.9682271489233496,0,2024-08-19-10-04-46,0.05327996360595251
3,1,0,1,0.004909212011737832,30.17245579056997,64.164482117,0.988669265002183,0,2024-08-19-10-06-37,0.0009745886886420858
4,1,0,1,0.005702917011771865,29.996654011477695,61.273500681,0.9899593671531196,0,2024-08-19-10-08-16,0.00044390185210178807
5,1,0,1,0.005319277389429132,29.79756841369414,74.569843054,0.9900217660080661,0,2024-08-19-10-09-50,0.0011100296093215687
1,1,1,0,inf,28.5986972192764,5.035194397,0.0,1,2024-08-19-10-55-59,3.8161334353712704
1,1,1,1,0.00012869941399847712,17.919933797902598,73.995809078,0.988992301828797,0,2024-08-19-10-58-15,7.692452511494814e-05
3,1,1,1,0.005197727265368432,18.025797615274815,71.453148842,0.9886805651578997,0,2024-08-19-11-00-19,0.0010093462573264687
2,1,1,0,0.0054675515052945885,17.663073315517106,49.198686122,0.9900150145859937,0,2024-08-19-11-06-31,0.2970934602833387
1,1,1,1,0.00512689706811669,17.66874306657855,69.161682605,0.9878711597633545,0,2024-08-19-11-15-02,0.00020365015566033658
2,1,1,0,-0.00012104397312654809,17.331011597801414,119.150575161,0.9612623298603526,0,2024-08-19-11-16-45,0.05506798523868693
3,1,1,1,0.004969193645495764,17.314445768324532,75.659366608,0.989318101752305,0,2024-08-19-11-19-42,0.0005908430312971675
4,1,1,1,0.005638338176106406,17.550647641773793,75.039965868,0.9892438220303406,0,2024-08-19-11-21-34,0.00024205564356121235
