experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
1,1,1,1,-1.4996169315725595e-06,38.5687119349888,177.371751785,0.9988471639558546,0,2024-09-28-18-20-47,7.49789412412819e-05,0,0,1.023249897914254
2,1,1,1,-1.939811601742801e-06,37.814895693792224,215.285533667,0.9838884499388508,0,2024-09-28-18-24-56,6.1023179365396005e-05,1,1,0.7650797386238578
3,1,1,1,0.0005487153421197517,38.03907614216933,165.514009238,0.9805878005004919,0,2024-09-28-18-29-56,9.492348479817171e-05,1,1,0.8194775782136584
4,1,1,1,0.0017002385477338502,37.5596537134136,105.725149393,0.99903206449244,0,2024-09-28-18-33-47,8.219430307645206e-05,0,0,0.9339592275458678
5,1,1,1,-8.660198767896439e-07,37.76582866470588,226.209785461,0.9988190553334171,0,2024-09-28-18-36-17,8.557584583310404e-05,0,0,0.8530182148273288
6,1,1,1,0.0012173864846443366,38.054517159799005,204.049363375,0.983884746080412,0,2024-09-28-18-41-32,6.387420604405993e-05,1,1,0.824847168006437
7,1,1,1,-9.913159592795451e-07,37.462987912629494,234.524806737,0.9989346087996643,0,2024-09-28-18-46-17,8.586551377179321e-05,0,0,0.96205249833073
8,1,1,1,0.0013178341115756044,37.24506532991489,256.382957458,0.9992114361057995,0,2024-09-28-18-51-44,9.985094170059332e-05,0,0,0.8212926807738669
9,1,1,1,-7.921037489779083e-07,36.969996137043395,312.090917111,0.9992280029637802,0,2024-09-28-18-57-41,4.879024124418537e-05,0,0,1.009915688348272
10,1,1,1,-1.0012146809739455e-06,36.97102221367262,188.147353887,0.9988816135631228,0,2024-09-28-19-04-55,8.448007927786027e-05,0,0,0.766771407952045
11,1,1,1,-1.6215918358159754e-06,36.932433234761874,190.862052202,0.9984544666890988,0,2024-09-28-19-09-20,7.802378586379976e-05,0,0,0.8793452140150921
12,1,1,1,0.0004395072964326842,36.81025019155179,171.229480028,0.9978322782093134,0,2024-09-28-19-13-47,5.73926070086076e-05,0,0,0.7692130744711712
13,1,1,1,-1.7354790030265216e-06,36.87467309751509,187.472848416,0.9989683156725333,0,2024-09-28-19-17-48,9.237610970250438e-05,0,0,0.7918234162425074
14,1,1,1,0.0003937538292680809,37.017172193692296,184.99522233,0.999064009452505,0,2024-09-28-19-22-10,0.000467697149670384,0,0,0.8360088717547086
15,1,1,1,-1.1796175473626569e-06,40.71205857198477,243.613326073,0.9851623858040102,0,2024-09-28-19-35-25,5.497116662868187e-05,1,1,1.0556443260631936
16,1,1,1,0.0011924269173277124,39.350855508400954,211.710772037,0.9991405233255181,0,2024-09-28-19-41-05,9.207364164615603e-05,0,0,0.9660475590893434
17,1,1,1,-1.7343028371556928e-06,38.80355699921549,167.381562472,0.9986899467816345,0,2024-09-28-19-46-01,7.770856697524039e-05,0,0,0.7940770183670166
18,1,1,1,0.0006262703095469063,39.17002969982353,203.114474535,0.9990590767358185,0,2024-09-28-19-49-55,7.607086918674811e-05,0,0,0.8267235529658018
19,1,1,1,-4.652188016453703e-06,39.53173979394368,282.001249075,0.9595865542487597,0,2024-09-28-19-54-39,9.782214003538928e-05,1,3,0.9276395740869066
20,1,1,1,-1.9545915726807547e-06,39.63826659174848,155.531523704,0.9648330716348821,0,2024-09-28-20-01-11,0.00010862093344466325,1,2,1.0688882619369913
