experiment_id,peak_err,peak_err_waypoint_idx,avr_err,peak_err_change,peak_err_change_idx,avr_err_change,smoothed_peak_err,smoothed_peak_err_waypoint_idx,smoothed_avr_err,peak_err_change_on_smoothed,peak_err_change_idx_on_smoothed,avr_err_change_on_smoothed,scoring_duration_per_waypoint,min_distance,min_distance_idx
1,2.7846576657255113,80,2.077128045316434,0.12218862198919567,80,0.0004925668607530342,2.821987406050501,80,2.072946146763772,0.18261193909532145,79,0.0005417495381364098,0.19594886862201455,12.19810800705563,46
2,5.682078258395905,38,3.2241797611446437,0.27012614172057603,33,0.00046170250974616783,5.443741461340584,37,3.217192146776997,0.1852449343831846,29,0.0014660026558041077,0.17681102988160688,7.506652841503538,36
3,6.160472987074025,16,3.1016435858092763,0.33057410792778485,4,0.0005916438036376356,5.790060188369653,14,3.0807992669403172,0.30688281036292697,5,-0.0004430437002155574,0.19068415370988256,10.6067036492209,37
4,6.309266428468021,58,4.563419031656853,0.13409206452007671,14,0.0005579156097630789,6.235560050276044,57,4.5628656422322225,0.1700143565945902,79,-0.0009082145930307414,0.1939825658445005,14.177651998053495,40
5,5.75284264918565,40,3.484847620281144,0.2862922465459068,66,0.0005616662587938126,5.529628602633601,38,3.4794725013178547,0.11317206535358382,13,-0.0015421064138198888,0.19011315887356983,10.225175151736106,25
6,3.1998734851581454,58,2.294886797206788,0.20016730308555486,37,0.00047969257562985036,3.0120801923134755,58,2.2939069765421265,0.14490048694461266,50,0.0011583754155814383,0.17033007704181435,10.823645634592982,19
7,7.200045858339441,20,3.7537287762188982,0.3054437235499803,17,0.0006716075992518998,6.781858605380416,20,3.741112961321399,0.31169913380493475,10,-0.0022750241649939318,0.18755215774347753,10.058826750680119,28
8,2.7917163276671095,80,2.4318092072644535,0.04754579672813275,80,0.0005797126608789933,2.785420722168217,80,2.4305872058780604,0.04222852370749503,79,0.000714618953921904,0.18334952107182256,9.620331438822964,32
9,3.6108251162256937,44,2.633694139081818,0.1744564122842518,41,0.0005199643721915454,3.5426147834027084,44,2.6313482158583428,0.11648323292026254,35,0.0006409890224721902,0.1840291288163927,12.239166376814014,34
10,3.351334215786192,68,2.435953505494232,0.12499675868298787,65,0.0007671258402259521,3.196081501504967,66,2.437101999851781,0.115733787227538,79,-3.164713488596343e-05,0.18686686327427993,11.432184933526692,48
11,7.326291256610937,15,3.960125190775478,0.6021358368385954,13,0.0005776656300443317,7.258641184067976,18,3.935294982781098,0.426459440222462,8,-0.005368038263142324,0.20300345656312543,14.731774497878027,27
12,5.11467287170402,27,3.0025019739381116,0.20086684021146617,22,0.0005502686467024706,5.153840996839673,28,2.9962903437673307,0.15942046642241894,17,-0.00016759107644866953,0.18350417525679977,13.2763312411113,51
13,7.178288393577916,39,3.383067983897864,0.3936211271686627,32,0.0004896406201712316,6.755714052130715,39,3.3782104523702494,0.3946354834417156,30,0.00037658779432095044,0.19093045776273,17.894104476208664,64
14,2.78533905454955,80,2.161597877478691,0.050069398242575947,72,0.0005009808986955987,2.7828422301316493,80,2.1620107440664023,0.03940385054822409,79,0.0008662851886105171,0.1605010297563341,9.06073701822609,36
15,2.7849551756188644,80,2.302755431893213,0.0452512714142177,76,0.0004962416526073648,2.7866011422750483,80,2.303272475048742,0.0384000438531726,79,0.0008133204546727061,0.1677971151140001,10.902116385493523,34
16,2.7869409481431187,80,2.1353819275092385,0.3055386744252351,66,0.0005207573586235156,2.821741470933188,80,2.133151965687913,0.17016910357053244,79,0.0006918809292117536,0.21237738927205405,17.82492637669651,63
17,3.1561000550254397,18,2.522678210956569,0.13761270545929705,62,0.0005522257569618391,3.0534266085323414,16,2.519693746801877,0.10751200341540529,79,-0.0008969572207023505,0.21285084147512176,18.687558233242807,65
18,3.8403561376437745,54,2.552068871448726,0.14417745519470282,40,0.0004853799946062394,3.758713390234015,51,2.5517268942191147,0.1301885266624541,36,0.0004662793027454239,0.23089302910698783,10.96670491982604,48
19,4.398024907024749,46,3.5754946035767827,0.11918687897518465,16,0.0005956144783571051,4.385294030612843,48,3.57229831510449,0.11282554958637707,79,-7.502363666731272e-05,0.1803328961501887,18.606412315575128,38
20,2.796448583930508,80,2.147393615575705,0.05356324202825835,64,0.0006381355821189681,2.800800406543902,80,2.1480673711830476,0.04262391682517747,79,0.0010911694831302217,0.18301541128276308,12.692900544342097,59
21,2.874857337280909,34,2.6484870522133583,0.04125436077535216,74,0.0004896340432450455,2.8710171261246296,32,2.6481367976483723,0.03669051431555061,79,0.0005564491990310982,0.16036787739506475,7.062651133481084,20
22,2.805353259595887,80,2.210904576408844,0.09556168200313575,80,0.0007480697846001791,2.830750183241627,80,2.208550302203314,0.12998981894734837,79,0.0013905255801319428,0.1902601718902588,11.003835636653942,43
23,5.61154162022732,50,2.9580649607285006,0.2652751394794697,46,0.0003900302590270262,5.423719637228309,51,2.9558581470292924,0.2289864540749188,42,0.0008465201004019356,0.21345466743280858,9.212252114015076,49
24,5.658006491623858,16,2.8343332703020208,0.25241806365628694,12,0.00041322292898948184,5.1873370350022565,14,2.816420489916659,0.2770128199168658,7,-0.002115534162203819,0.18139092127482095,11.62560009737399,39
25,19.55314587577402,35,7.33533911434725,3.6146992572245553,30,0.0005024966951596655,18.756260600752547,36,7.312997427132575,1.6767078079538564,29,-0.006213926535838353,0.23851215397870099,5.0856964763510435,32
26,5.570116512369625,21,3.5123392366762785,0.3097646103207179,12,0.0004840255267383557,5.5785736846818255,24,3.498411133194437,0.22744297052419224,9,-0.0006152850126923987,0.18192492885354125,6.684042038981267,23
27,2.9084808632061407,30,2.6435582160646454,0.04697091659937236,79,0.0003788910987842488,2.8984655813894755,32,2.642857000947148,0.04082553617399576,79,0.0005310228411328475,0.17722597534273876,9.92810960429897,40
28,7.113716788819237,48,4.369956727950885,0.3018372647716383,29,0.0005382720140317725,7.127293086087077,45,4.36255025164754,0.2722571083979423,30,0.0017198987575176461,0.22129207187228733,14.308266993098572,51
29,2.889097071150073,40,2.3172792037431797,0.14497513344388446,80,0.00043016059299523014,2.9097046416540544,40,2.316480602829304,0.06978102047967713,79,-6.650357121474881e-05,0.18331143885482976,11.99946023482007,37
30,10.111112732193384,24,5.242224192877657,0.5299700640318985,7,0.0006805304433040549,9.40479206433854,22,5.220808167724828,0.5639983887578155,0,0.0020735964608115586,0.194183752860552,14.098503437178072,52
31,2.7889651550822814,80,2.4569603324591145,0.044585618689742645,80,0.0005457475616801733,2.7914516418587705,80,2.455109995410448,0.048053628069114,79,0.0007759139003926807,0.1828362912307551,9.922077926566665,35
32,7.201571814742772,35,3.979267908567726,0.30896007568884265,24,0.000407015293692356,7.170977859735373,35,3.9770457161864017,0.2921446438625304,22,0.0021233528550275793,0.18329275095904315,6.061256031910769,35
33,2.7922098963012605,80,2.252423438366943,0.04868958538446577,80,0.0005858061054872199,2.7920983297188067,80,2.2527151162169425,0.04445919695353455,79,0.0009860452299602887,0.1818371613820394,10.98097536031548,41
