experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
1,1,1,1,0.004540849922328924,24.306598751351036,156.253865004,0.985061950790339,0,2024-08-30-09-30-19,0.00015918675632162609,0,0,2.683084083307118
2,1,1,1,0.004019484707337149,22.164681852940056,114.100442171,0.9844488527969883,0,2024-08-30-09-33-58,0.0001061591768041154,0,0,2.2741990431436756
3,1,1,1,0.006530885117388774,23.044145065208006,130.70565176,0.9880999415597536,0,2024-08-30-09-36-39,0.00017863741276782062,0,0,2.2322250051977566
4,1,1,1,0.00810505527627248,23.18051278903723,99.609530687,0.9790651297935838,0,2024-08-30-09-39-43,0.00011492807370974888,0,0,1.9566072501209604
5,1,1,1,0.0031094635581474595,22.63573992400186,103.906477451,0.989168036087531,0,2024-08-30-09-42-04,0.00018361963019363666,0,0,1.575840648881243
6,1,1,1,0.0038302214503919004,22.177505506878582,99.109433174,0.9884378396770873,0,2024-08-30-09-44-31,0.0001077153872259969,0,0,1.397328350725533
7,1,1,1,0.00478283569911527,22.12488392167626,122.667310238,0.9802949093682788,0,2024-08-30-09-46-52,0.00018002592162492161,0,0,2.195066739387475
8,1,1,1,0.0026260068157662004,22.80837490435613,81.680523396,0.9885175784920978,0,2024-08-30-09-56-49,0.00020438979639877809,0,0,1.4140319091851958
9,1,1,1,0.004619304813264524,22.405917286186877,111.042095185,0.979005049132286,0,2024-08-30-09-58-46,0.0001239857058395479,0,0,2.0652439082871914
10,1,1,1,0.004056327991976495,22.653430671937937,78.222147703,0.9810558960449024,0,2024-08-30-10-01-23,0.00016537992724178526,0,0,1.3961870991991294
11,1,1,1,0.008739308994787523,23.70665622117353,129.415130138,0.9886609875026997,0,2024-08-30-10-03-14,0.00015769959629146265,0,0,2.5450654252529414
12,1,1,1,0.0030050797820229736,22.62025211563112,97.655852318,0.9827575723686116,0,2024-08-30-10-06-17,0.00018907987021953988,0,0,1.6829567709121471
13,1,1,1,0.004855466190547449,21.437249589941583,118.858531236,0.9902874074534035,0,2024-08-30-10-08-35,0.00021055082207725712,0,0,2.029711256005599
14,1,1,1,0.0047827281945596045,22.58222099555396,85.952573061,0.9851962992745004,0,2024-08-30-10-11-22,0.00011872147799253461,0,0,1.6375852534111273
15,1,1,1,0.0014465484797059388,22.622332010149318,113.825577259,0.9892774971250168,0,2024-08-30-10-13-24,0.00020906673731137829,0,0,2.3895088945593512
16,1,1,1,0.0034106080277413716,21.38426190164678,99.231856108,0.9898223838558032,0,2024-08-30-10-16-06,0.0001270180715148233,0,0,1.7753102831204906
17,1,1,1,0.004202078126171821,22.387909678857365,139.718269587,0.9875085450482931,0,2024-08-30-10-18-27,0.0001057619610597174,0,0,2.5727894311873025
18,1,1,1,-0.0003019865961132847,21.842912837295998,98.109625578,0.9862067972946383,0,2024-08-30-10-21-43,0.00012630832935937785,0,0,1.5877628695055483
19,1,1,1,0.004526384813021197,22.43215943500497,121.789433956,0.9883038519988333,0,2024-08-30-10-24-03,0.00018870573386704992,0,0,1.8327930214935906
20,1,1,1,0.001326668951162306,23.520045982937987,114.030389309,0.98699782419453,0,2024-08-30-10-26-55,0.0001679592551946335,0,0,2.3403401716369996
21,1,1,1,0.0017792537595096968,23.497792953630046,119.287798881,0.9909755258943335,0,2024-08-30-10-29-37,0.0001255981426352479,0,0,2.515116974425819
22,1,1,1,0.00413220325276825,22.25679772866309,81.772769928,0.9661762291810492,0,2024-08-30-10-32-25,0.00017451572266563817,0,0,1.4920969196948901
23,1,1,1,0.006249895694209318,21.769196982886744,100.922418118,0.9863404061110027,0,2024-08-30-10-34-22,0.00018354799958642052,0,0,1.6524566453878904
24,1,1,1,0.003144033559182319,21.78147580497637,90.306093931,0.9794272830644426,0,2024-08-30-10-36-45,0.00014384111219083948,0,0,1.5087605525378358
25,1,1,1,0.004002215519159449,21.439884541566027,113.993151188,0.9829170949717075,0,2024-08-30-10-38-53,0.00011773312733368425,0,0,1.6330445121155732
26,1,1,1,0.004828406987043404,22.490167291055734,155.356781245,0.9710049896844242,0,2024-08-30-10-41-34,0.0001931668629706584,0,0,2.5332965262234866
